,,微博内容,,发布来源,,,,,,
,,"#言承旭# 【 2003年11月1日广州百事超级巨星见面会-打篮球照片】@言承旭Jerry 和周杰伦共同出席于广州黄花岗剧场举行的「百事超级巨星见面会」，见面会中，言承旭和周杰伦进行了一场篮球比赛。更多照片请移步家族资料版图片区(一)上半场玩游戏照片请戳 网页链接(二)下半场打篮球照片请戳 ?
			...展开全文c",,微话题,,,,,,
,,"#言承旭# 【 2003年11月1日广州百事超级巨星见面会-视频】言承旭和周杰伦共同出席于广州黄花岗剧场举行的「百事超级巨星见面会」，上半场是有关百事广告的游戏，下半场是言承旭和周杰伦的篮球比赛。比赛时，台下旭迷齐声为言承旭打气：「Jerry加油，Jerry加油，Jerry加油……」大家喊得又齐又大声，场 ?
			...展开全文c",,微话题,,,,,,
,,"2008-2018，我们在一起10年了，武警学院。以后不会再有的地方..................
			...展开全文c",,,,,,,,
,,周杰伦 简单爱音乐微心情...（上#秒拍#看我的最新短视频，下载秒拍->网页链接） ?,,秒拍客户端,,,,,,
,,#陈伟霆#周传雄翻唱周杰伦的《告白气球》，这个版本也非常好听，而且这个声音久违了，听着竟有点想哭的感觉。他就是小刚周传雄，小刚归来了。他说自己的病好了，现在从心到外都好了。一起欢迎周传雄重回大众面前 |飞好吃沈包... ?,,荣耀6,,,,,,
,,周杰伦的《默》潮音乐的秒...（上#秒拍#看我的最新短视频，下载秒拍->网页链接） ?,,秒拍客户端,,,,,,
,,"#陈立农奔跑吧##郑爽##林俊杰#黄渤沈腾周杰伦林俊杰,这些才子即兴发挥都是神来之笔! ?",,iPhone 6s,,,,,,
,,#周杰伦地表最强成都站# 女歌迷现场点歌《晴天》最爱的晴天大合唱还要多久我才能在你身边但故事的最后你好像还是说了拜拜#2018周杰伦演唱会# 周杰伦后援... ???,,iPhone 8 Plus,,,,,,
,,每天上班一转头就是周杰伦，王俊凯，迪丽热巴，陈伟霆的大屏广告  要是真人就好了 ?,,微博 weibo.com,,,,,,
,,#极限挑战##周杰伦 ##告白气球 #演唱会live版 星闻揭秘的... ?,,微博 HTML5 版,,,,,,
,,五月第一周三大音乐 APP 排名前三的歌手：QQ音乐：1.薛之谦 2.林俊杰 3.周杰伦网易云：1.陈奕迅 2.薛之谦 3.林俊杰酷狗：1.周杰伦 2.薛之谦 3.TFBOYS ?,,360安全浏览器,,,,,,
,,门票被降价甩卖周杰伦过气了？真相是周董歌迷打败了黄牛党(同步自@新浪看点)|门票被降价... ?,,手机新浪网,,,,,,
,,如果王力宏，周杰伦，林俊杰，一起创作一张专辑，一起合唱，最后再发行。我觉得就相当完美了。 |沧州·南大... ?,,前置双摄vivo X9s,,,,,,
,,"[友情预告] 浦发信用卡精彩呈献的周杰伦 2018""地表最强2""世界巡回演唱会上海站6月将热力开唱~天青色等烟雨，而我们在等你，记得密切关注我们，将有惊喜福利降临，敬请期待！#周杰伦上海演唱会# ?",,微博 weibo.com,,,,,,
,,#周杰伦#魔天伦常州站歌迷点歌《半岛铁盒》（至尊角度）依稀记得那场黑马站，杰伦唱的完全湿身。。#周杰伦地表最强2常州站# 周杰伦常州演唱会快来吧 秒拍视频 . ?,,iPhone 7 Plus,,,,,,
,,【在奶茶和肥胖之间，我选择奶茶】不少女生吃个苹果都要算卡路里，可面对着卡路里爆表的奶茶，她们却抗拒不了。就像周杰伦，亿万身家的他人间美味估计都吃个遍了，可割舍不下的依旧是街头十几块钱一杯的奶茶。奶茶的致命魅力在哪里？|在奶茶和肥...（南周知道） ?,,21经济网,,,,,,
,,周杰伦：一个一言不合翻跟头的中分少年#2018周杰伦地表最强巡回演唱会# ?,,iPhone 7 Plus,,,,,,
,,#周杰伦喝杯奶茶再说# 杰伦你看我都有尖下巴了，你就别喝奶茶了啊 喜欢杰伦的... ?,,OPPO R9 Plus,,,,,,
,,出两张6.10周杰伦郑州演唱会门票，A2区14排，位置正好哦，2018 ?,,荣耀9 美得有声有色,,,,,,
,,周杰伦《等你下课(with 杨瑞代)》 网页链接 @QQ音乐 ?,,iPhone客户端,,,,,,
,,#周杰伦#6月21日凌晨#昆凌二胎产子#，官方微博晒出昆凌亲吻新生儿子和女儿小周周三人的合照。周杰伦：“金曲奖可能没办法参加了，月子中心陪着母子看金曲奖感觉好特别，俗话说的好'娶妻前，生子后'运气会比较好！”，周杰伦你都二胎了，可我还是单身狗 ?,,iPhone 6s,,,,,,
,,翻看昆凌Ins的时候，无意中捕捉到了宠妻狂魔杰伦小公举。周杰伦在昆凌的Ins评论里可活跃了，他和粉丝争着比谁留言快，和摄影师争着比谁拍得好，还偷偷地吃飞醋，简直太可爱了！这还是我认识的那个周杰伦嘛，果然男人会在自己心爱的人面前变成孩子 ?,,微博 weibo.com,,,,,,
,,不知道为什么这几天只想听周杰伦 ?,,HUAWEI nova 青春版,,,,,,
,,180427林书豪IG更新杰伦相关一则：You’re so annoying @/jaychou lol!! But seriously how did you do it?!?你什麽都會，太討厭了哈哈！有人可以告訴我他怎麽變魔術嗎？他不想告訴我（笑死了周杰伦你真的好烦啊 L可他是杰伦啊的 ????,,微博 weibo.com,,,,,,
,,"厦门暴雨 #成都身边事#【你到了吗？周杰伦成都演唱会要开唱了 交警支招这样去！】“2018周杰伦地表最强2世界巡回演唱会成都站”将于2018年5月1日、O2日19:30-22:00在天府新区现代五项赛事中心举行 。成都交警提醒，进入主会场的车辆需持证进入，没有车证的车辆，请将车辆停在附近的停车区域。另据 ?
			...展开全文c",,微博 weibo.com,,,,,,
,,#流行音乐##励志歌曲#那年上初中，夏天是好漫长的，西瓜是吃不完的，作业是最后两天才赶的。那时候的时光真美好啊……周杰伦《三年二班》 |三年二班 ?,,微博 weibo.com,,,,,,
,,王俊凯生日会用偶像周杰伦的歌曲开场 这逆天大长腿 .... ?,,微博 weibo.com,,,,,,
,,6月10号有一起去周杰伦郑州演唱会的没有 |驻马店·西... ?,,iPhone客户端,,,,,,
,,绝地求生偶遇“周杰伦”，小迷弟疯狂要求趴在草地上唱首歌！幽默搞笑视... |白银·白银... ?,,小米手机5,,,,,,
,,#周杰伦地表最强世界巡回演唱会##周杰伦# 这几天循环的专辑，一首一首都是故事啊 ?,,iPhone客户端,,,,,,
,,"#电影知识范儿# 由林超贤执导、周杰伦、谢霆锋主演的《逆战》可谓是近年来非常精彩的一部枪战电影，片中连环飞车爆炸气势浩大，不单飞机大炮齐出，还去很多国家取景。其中有一场重头戏是在约旦拍摄，当时约旦政局相当不稳，到处有人抗议和示威，令拍摄过程充满不稳定因素，但为了展示各种大型军械、拍 ?
			...展开全文c",,微博 weibo.com,,,,,,
,,#2018周杰伦地表最强巡回演唱会# 你有没有爱过一个遥远的人？一个周杰伦的歌迷，一段写给你的故事。现实虽然冷峻，但幸好还有你！杰迷，这个短片送给你…视频来源@最美的伴奏最美的伴奏... ???,,iPhone客户端,,,,,,
,,#不爱我就拉倒# Hannah昆凌更新ins：Anyone need pink workers? 原来组装弹跳垫这么费劲??杰伦：我也觉得这衣服不知道哪里怪怪的??昆凌回复：因为是你的呀#2018周杰伦演唱会# ?,,iPhone 8 Plus,,,,,,
,,"周杰伦演唱会发生踩踏事件！多人受伤被紧急叫停, 成都: 音乐界的耻辱！ |周杰伦演唱... ?",,微博 weibo.com,,,,,,
,,今天因為要錄音帶了吉他走在路上，竟然被一個自稱星探的人說 很帥要幫我出單曲～～看走路就知道我有才華～～～好吧～想要超越周杰倫就靠這次了～～ ?,,iPhone客户端,,,,,,
,,#周杰伦##周游记# 周杰伦地表最强2演唱会5-6月行程表注：除合肥站未开票外，其他站次均已售罄！请大家注意购票渠道，以防被骗！原图作者@Rui-闻睿 ?,,OurJay官博iPhone客户端,,,,,,
,,小时候会想说以后长大了要去周杰伦林俊杰身边工作，结果现在长大了觉得，还是做回适合自己的工作才对呀，还是要有属于自己的梦想的。杰伦和JJ就有钱有闲的时候去看看他们就好了，生活还是得按部就班地继续下去，梦想还是要以自己实际情况去慢慢实现的，说不定哪一天两个完全不搭边的领域就搭上了呢？ ?,,Android,,,,,,
,,#周杰伦江苏歌迷会# 超级话题开通了江苏地区杰迷讨论区??#周杰伦地表最强2常州站# 关注走一波～ ?,,iPhone客户端,,,,,,
,,周杰伦演唱会上，兄Die这就是你人生的巅峰 ！！！#搞笑视频# 笑部长的秒... ?,,秒拍网页版,,,,,,
,,转两张780的～连坐～6.23 周杰伦福州场～ ?,,iPhone,,,,,,
,,#赵丽颖#王俊凯周杰伦之间迷弟和偶像的关系太让人喜欢啦～王俊凯的18岁成人礼有了偶像周杰伦的祝福一定非常开心吧#长命每日推歌#今天的早安曲推周传雄的《告白气球》Live欢迎周传雄回归 |攀枝花·攀... ?,,iPhone 6s,,,,,,
,,?我正在收听周杰伦/潘儿的单曲《夜的第七章》?网页链接（来自@QQ音乐） ?,,iPhone客户端,,,,,,
,,"《我是你的人》作者作词本人-奥芝惞献给周杰伦我是你的人为谁而可问爱过你的人千年之恋只为爱的相恋故事谁无改变传说之恋
			...展开全文c",,OPPO智能手机,,,,,,
,,#周杰伦江苏歌迷会# 再过19天又可以看见老周啦 ?,,OPPO R9,,,,,,
,,我是第25个申请创建每天都要听周杰伦超话的粉丝，申请粉丝越多，开通几率越大，大家快来戳这里→ 网页链接 帮我加快创建速度吧~ ?,,微话题,,,,,,
,,昨天梦到周杰伦和昆凌 她们吵架了 然后杰伦说心里爱的是我 哈哈哈哈哈哈哈 ?,,iPhone客户端,,,,,,
,,iTunes 是不是以为国语精选就只有周杰伦啊？我听了一上午国语精选一大半都是周杰伦 ?,,Mac客户端,,,,,,
,,我正在听周杰伦的歌曲《不能说的秘密》（来自@酷狗音乐），你也来听听吧！网页链接 ?,,手机酷狗安卓版,,,,,,
,,GTY2018 “送给喜欢周杰伦的朋友；不喜欢别进谢谢。”龙鑫dt7q8... ?,,微博 weibo.com,,,,,,
,,2018年实现了和全家人去旅行的愿望辽宁队夺得CBA总冠军今年的最后一个心愿 九月份可以去看周杰伦大连演唱会希望今年 是一个很好的二零一八年 ?,,iPhone 7,,,,,,
,,#周杰伦# 依然范特西 你最喜欢这张专辑哪首歌呢 ?,,,,,,,,
,,"发布了头条文章：《为什么越来越多女生不想谈恋爱？》 ————————————————————————————————————————————————————————————————————————————————————————————————————————————
			...展开全文c",,微博 weibo.com,,,,,,
,,#周杰伦江苏歌迷会# 日常打call，期待5.26地表最强2常州演唱会 ?,,前后2000万 OPPO R11,,,,,,
,,#2018周杰伦长沙演唱会#挥泪转12号长沙周杰伦780两张 可以走咸鱼买进价格出 ?,,前后2000万 OPPO R11,,,,,,
,,很喜欢周杰伦的音乐，唯独《青花瓷》听不下去不是歌曲本身的问题，是因为上学时做过太多和这首歌有关的语文试题，留下的心理阴影到现在还没消除 ?,,微博 weibo.com,,,,,,
,,今年 武志红奇葩大会 证明了周杰伦 听妈妈的话是最 狗屎的作品 ?,,Android,,,,,,
,,周杰伦最甜的一首歌，听完就想恋爱了，好听极了！#周杰伦新片被曝停拍#国内娱乐头... ?,,微博 weibo.com,,,,,,
,,#福州身边事#【好听！福州大学女生翻唱周杰伦《说好的幸福呢》】《说好的幸福呢》收录于周杰伦《魔杰座》中，这首歌被称为2008年最遗憾的情歌，有着听歌者最容易触动心弦的旋律，下面mv是福州大学刘禹盺翻唱周杰伦《说好的幸福呢》不同的曲风也会带来不同的感受哦。喵daddy的... ?,,专业版微博,,,,,,
,,周杰伦无与伦比演唱会，当这个女孩出来，全场沸腾！满满的青春回忆…… 傻六的秒拍... ?,,秒拍网页版,,,,,,
,,#周杰伦常州演唱会#求两张26号常州演唱会门票，连坐的，拒绝高价黄牛，谢谢！ ?,,iPhone客户端,,,,,,
,,5月11周杰伦演唱会门票由于本人是在摩天轮票务购买的，所以价格比票面价确实贵了不少，一千一张也只能保本，非诚勿扰。两张连号，忍痛转让 ????,,微博 weibo.com,,,,,,
,,#周杰伦长沙演唱会#5月12日1280的三张连坐票，现在有事去不了了，门票转给需要的人，面交或走闲鱼，黄牛勿扰，需要可以私信 ???,,iPhone客户端,,,,,,
,,#周杰伦2018长沙演唱会# 倒计时4天舞台已经在搭建中啦小编已经迫不及待啦你们呢？ ?,,荣耀9 美得有声有色,,,,,,
,,惊艳！听说是照着周杰伦婚礼时那个教堂来建的是数一数二的实景教堂太美了 ?,,iPhone客户端,,,,,,
,,#周杰伦#自诩中文标杆，遭庾澄庆那英的拆台！哈哈哈，说好的包袱呢？ 神曲神歌手... ?,,微博网页,,,,,,
,,朋友想出一张周杰伦5.12号长沙贺龙体育馆演唱会看台780的票，当时一千多买的，由于个人原因看不了了。??需要的小宝贝们啊！！私我！#周杰伦长沙站##周杰伦演唱会门票转让# 价格什么的都好商量\(//?//)\ ?,,iPhone客户端,,,,,,
,,分享 梁静茹 的歌曲《失忆》网页链接 (分享自@虾米音乐)初中的，单曲循环。周杰伦作词作曲 ?,,iPhone客户端,,,,,,
,,#周杰伦长沙演唱会#  有出山顶票的吗（不要黄牛不要高价） ???,,iPhone X,,,,,,
,,我关注了周杰伦江苏歌迷会超话，小伙伴们快来加入周杰伦江苏歌迷会超话一起聊聊吧~戳这里→ |周杰伦江苏... ?,,微话题,,,,,,
,,求周杰伦6月23或24福州演唱会的门票！！！实在是抢不到啊！！！@周杰伦中文网JayCn ?,,小米手机5,,,,,,
,,"#南宁生活# @vivazloves 本人89年，身高165，桂平市人，天蝎座，本科学历，南宁自己买有套三房，有一台标志508，平时很喜欢唱歌，特别爱周杰伦，摄影技术也不错，得空就爱去看电影打羽毛球，希望另外一半也有相同爱好，有固定工作，孝顺父母，大方得体，聊得来最重要吧。希望能遇到对的那个人，一两年 ?
			...展开全文c",,投稿请私信iPhone客户端,,,,,,
,,#周杰伦江苏歌迷会# 超级话题开通啦！????两驱的杰迷们赶紧来关注期待下一站#周杰伦地表最强2常州站# 一起地表最强！ ?,,iPhone 7 Plus,,,,,,
,,?我正在收听周杰伦的单曲《晴天》?网页链接（来自@QQ音乐）莫名的单曲循环?? ?,,老旷赏的iPhone客户端,,,,,,
,,听过周杰伦演唱会版的《默》吗 歌迷为大 点啥唱啥 我伦来者不拒#搞笑视频# 傻六的秒拍... ?,,秒拍网页版,,,,,,
,,“莫文蔚的阴天 孙燕姿的雨天 周杰伦的晴天 都不如和我聊天”#顺子店长##顺子女子美发会所##郑州接发# |郑州 ?,,iPhone客户端,,,,,,
,,"任达华台下跳扭屁屁舞,台上为周杰伦老婆谋福利 蹲在坟头点... ?",,360安全浏览器,,,,,,
,,"一群小孩子上学的时候在喊话，我仔细听了一下“周杰伦”嗯，也是同辈里的年少记忆(我的记忆可能更多的是哥哥)“迪玛希”嗯？？？耳熟，不知道，好像很火。“热巴”这个我晓得，漂亮的李慧珍。不得了了，最近微信圈和微博个别在刷101，一脸蒙蔽，感觉自己像个老古董，每天看看新闻读读申论刷一丢 ?
			...展开全文c",,Weibo.intl,,,,,,
,,周杰伦 的歌曲 |夜曲- 周杰...前奏就是一整个青春啊~ ?,,iPhone客户端,,,,,,
,,#周杰伦郑州演唱会# 周杰伦6月10日郑州演唱会680门票一张，因为就抢到一张，所以转让，座位已出，马上可以转！！ |新乡 ?,,iPhone客户端,,,,,,
,,#小猪嘟嘟##赵丽颖#周杰伦林俊杰首次台北同台 ?,,搜狗高速浏览器,,,,,,
,,周杰伦上海连开四场我居然没有抢到一张 ?,,iPhone客户端,,,,,,
,,#华语乐坛第一个100亿！周杰伦在QQ音乐播放量最高的4首歌#@腾讯视频 华语乐坛第... ?,,腾讯视频安卓客户端,,,,,,
,,我关注了周杰伦歌迷会超话，小伙伴们快来加入周杰伦歌迷会超话一起聊聊吧~戳这里→ |周杰伦歌迷... ?,,微话题,,,,,,
,,#周杰伦长沙站##周杰伦地表最强巡回演唱会##周杰伦演唱会# 唉。。。一票难求啊…有没有非黄牛转票要两张连坐 长沙站 11号12号都可以！ ?,,iPhone客户端,,,,,,
,,#分享好音乐# 周杰伦《夜的第七章》 |夜的第七章 今天有“7”，但是明天也有 “7”哦  ?,,微博 weibo.com,,,,,,
,,??周杰伦《晴天》 网页链接 @QQ音乐 ?,,iPhone客户端,,,,,,
,,#2018周杰伦郑州演唱会#出两张6月10日周杰伦演唱会内场票，两张2018的连座，v3区第24排10以内小号，非黄牛，走闲鱼，要的速来 ???,,iPhone客户端,,,,,,
,,nb123转一张623周杰伦福州演唱会780的门票，走闲鱼 周杰伦福州演唱会 周杰伦福州演唱会门票 周杰伦2018福州演唱会 周杰伦福州  ? ?,,热门微博,,,,,,
,,@天明和月儿终于又在一起了 ?我正在收听周杰伦的歌曲《星晴》 网页链接 （来自@QQ音乐） ?,,分享按钮,,,,,,
,,#周杰伦郑州演唱会##2018周杰伦郑州演唱会##周杰伦郑州###周杰伦郑州站# 帮出两张6.10号780连坐，位置如图 算780看台最好区域了 有意私聊 ?,,iPhone 6s,,,,,,
,,日前！看穿我的内心、可不可以在我嘴硬的时候：并力邀华语流行歌手周杰伦代言、给我最好的疼爱。 ?,,iPhone客户端,,,,,,
,,"当某些人沉浸在自己世界当中的时候“我唱歌给你听好吧”“我们找部电影看吧”“你想听什么歌你要告诉我啊不然我不知道”“我想看电影…”“残酷月光怎么样？”“你安静………”
			...展开全文c",,iPhone 7,,,,,,
,,00后国产美少年戏腔惊艳演绎《霍元甲》致敬偶像周杰伦 _LemonTree #哔哩哔哩# 00后国产美... ?,,,,,,,,
,,周杰伦《黑色幽默 (Live)》 网页链接 #周杰伦# 败给你的黑色幽默 ?,,iPhone客户端,,,,,,
,,#周杰伦郑州演唱会# 内场一张 走咸鱼 ?,,iPhone客户端,,,,,,
,,#周杰伦演唱会门票转让##周杰伦郑州演唱会# 转票两张已经选过坐位啦。#周杰伦# ?,,iPhone客户端,,,,,,
,,"蔡依林走向周杰伦的那一分钟, 就像我们的青春那么长…… 污姐的日常... ?",,秒拍网页版,,,,,,
,,#周杰伦郑州演唱会##周杰伦郑州站# 10号内场第五排偶遇 顺便帮朋友卖一张七排的 ?,,iPhone客户端,,,,,,
,,周杰伦《等你下课》真人导演版MV出炉！节后上班第一天，听一首暖暖的歌#秒拍# 七里外的风... ?,,微博 weibo.com,,,,,,
,,希望周杰伦先生能来广州，不要待定了，谢谢 ?,,Android,,,,,,
,,我是第4个申请创建每天都要听周杰伦超话的粉丝，还差6人就满足申请条件啦！大家快来戳这里→ 网页链接 帮我加快创建速度吧~ ?,,微话题,,,,,,
,,#周杰伦# 周杰伦演唱会正在布场，想听声音的可以找我#长沙# |长沙·河西... 摄影师陈义... ?,,,,,,,,
,,周杰伦《告白气球》 网页链接 @QQ音乐 ?,,QQ音乐,,,,,,
,,周杰伦第一次在内地演唱经典歌曲《晴天》，那时候真的好青涩啊 内裤都笑飞... ?,,微博 weibo.com,,,,,,
,,周杰伦郑州演唱会 6.10号郑州 780连坐两张 排号105 今天12点进场选座 7区b第一排 大麦上应该不会有几张更好的同价位座位了临时有事去不了 适当加价 走闲鱼 面交都可以 可以改地址 #周杰伦郑州演唱会##周杰伦郑州##周杰伦演唱会# ?,,iPhone客户端,,,,,,
,,爵士鼓小帅哥街头演奏周杰伦《告白气球》，传说中的“小鲜肉”！ 正在更新的... ?,,微博 weibo.com,,,,,,
,,"刚看完了小姐姐们，真的都好努力哦然后pick强东玥组的歌《爷爷泡的茶》才知道这首歌是周杰伦的噢超好听 编舞也很好宣仪小姐姐颜值是很高不过唱歌嘛…就…而且还没宣布结果就开始举手了有点自负啊
			...展开全文c",,万人迷OPPO R7,,,,,,
,,见到了周杰伦的好朋友@刘耕宏willliu，所以周杰伦郑州演唱会有转票的吗？求三张 ?,,iPhone 7,,,,,,
,,周杰伦《天涯过客》网页链接 @QQ音乐 快出新歌吧 网页链接 ?,,QQ音乐,,,,,,
,,#2018周杰伦演唱会#出一张5.11周杰伦演唱会的票，不是黄牛，没时间去。看台票原价780入的，1100出。旁边是个妹子，要的私我 ?,,iPhone客户端,,,,,,
,,#周杰伦长沙演唱会#511看完演唱会有小伙伴一起回常德吗 ?,,iPhone客户端,,,,,,
,,初中粉上周杰伦，可能是我有史以来看男人最准的一次了。【中国有嘻哈】周杰伦高能嘻哈说唱part1 UP主：Kevin_Music #bilibili# 网页链接 ?,,iPhone客户端,,,,,,
,,发布了头条文章：《华语乐坛可以与周杰伦称的上同一级别的歌手，应该也就这几个人了》 |华语乐坛可... ?,,微博 weibo.com,,,,,,
,,#音乐狂人#周杰伦《世界末日》现场版，一架钢琴，一段叙述，一个人演绎。说尽心中无限事…全球经典音... ?,,微博 weibo.com,,,,,,
,,《#周杰伦# 十级中文歌曲》你能到第几级？小姐姐厉害了 ?,,微博 weibo.com,,,,,,
,,但没想到在这里碰到了手持《双截棍》的周杰伦。吃点《豆浆油条》，只好变成了一只《精灵》！ ?,,iPhone客户端,,,,,,
,,#春晚# 超奇妙混搭来了！周杰伦与 ?,,微博 weibo.com,,,,,,
,,Stark_Film...多少人的爱情里都有一首周杰伦，在蠢蠢欲动的年纪里，所有美好的故事从晴天的前奏开始响起就可以全部浮现了，看见你的笑我怎么睡得着，以后的岁月里都希望有你的陪伴。婚礼布置：@芯恋婚禮 摄影：@可可视觉摄影 妆发：@Fiona-摩登湾造型 司仪：@梦想司仪团-舒放 ?,,,,,,,,
,,"【在奶茶和肥胖之间，我选择奶茶】不少女生吃个苹果都要算卡路里，可面对着卡路里爆表的奶茶，她们却抗拒不了。就像周杰伦，亿万身家的他人间美味估计都吃个遍了，可割舍不下的依旧是街头十几块钱一杯的奶茶。甚至有人“一天不喝想到发疯，两天不喝精神崩溃”。大家为什么这么爱奶茶？奶茶真这么好喝吗 ?
			...展开全文c",,专业版微博,,,,,,
,,周杰伦说：这是他唯一想要拿回来自己唱的一首歌，太好听了！陈奕迅、张敬轩、谢安琪、梁文音四人同唱又是另一番味道 好运逗比的... ?,,搜狗高速浏览器,,,,,,
,,我帮他们写了歌 因为我没写过 保育动物之类的歌周杰伦/林迈可(铁竹堂)《四面楚歌》网页链接 @QQ音乐 网页链接 ?,,三星 Galaxy S7 Edge,,,,,,
,,张家辉终于忍不住了：你们不要再叫我渣渣辉了让周杰伦告诉你！ 网页链接 ?,,秒拍网页版,,,,,,
,,我免费围观了 @潘乃宪声乐 的回答，问题价值 30.00 元，快来一起免费围观~ 微博问答 ?,,,,,,,,
,,#ukulele尤克里里# 周杰伦的《安静》练习了很久，但 每次连起来弹就会有卡壳??毕竟是新生 |沈阳·北陵... 作死海狗的... ?,,iPhone客户端,,,,,,
,,#SuperJunior#-#崔始源#在见面会上带来#周杰伦#《给我一首歌的时间》~哥哥的中文满昏满昏！一首歌的时间怎么能够啊！始源演唱杰... ?,,微博 weibo.com,,,,,,
,,"#林更新# #林更新三行情书#【三行情书之土味情话4.0】“阿更，你是不是喜欢周杰伦的《晴天》啊？”“嗯，怎么了？”“可是，我只喜欢有你的每一天。”
			...展开全文c",,狗哥哥送的Android,,,,,,
,,珍贵照片丨2001年2月周杰伦新加坡机场照片，当时无人接机，几乎没有人关注他，行李都是自己拿。但是他就是这样从默默无闻一步步走向华语流行天王的！致敬！ ?,,iPhone客户端,,,,,,
,,#2018周杰伦郑州演唱会#出两张郑州站门票。680连坐。自己有了。别人又送两张。要出手。有意私。可面交 ?,,iPhone客户端,,,,,,
,,"一起去看周杰伦，一起逛宜家又食又拎，一起纹身当个酷酷的社会人，一起精心布置又大几坪的房间，一起熬夜看综艺喝可乐吃烧烤，一起逛超市添补家用还买菜做饭，一起早起喝茶跨越城区去买面包，
			...展开全文c",,,,,,,,
,,我关注了周杰伦歌迷会超话，小伙伴们快来加入周杰伦歌迷会超话一起聊聊吧~戳这里→ |周杰伦歌迷... ?,,微话题,,,,,,
,,垃圾网易云，听不了周杰伦，这是自己作死想破产吧 ?,,iPhone客户端,,,,,,
,,#周杰伦郑州演唱会# 现在的黄牛，业务这么难做么？都需要这么辛苦，挖到我两年前的微博，问我要不要票 |衡水·安平... ?,,,,,,,,
,,周杰伦新歌很快就要来了！其实很早就唱好了 应该也就这几天啦！！ ?,,,,,,,,
,,#晴天-周杰伦#故事的小黃花.. ?,,,,,,,,
,,#2018周杰伦常州演唱会#求5月26日常州站门票两张，什么位置都可以，谢谢！ ?,,iPhone客户端,,,,,,
,,"发布了头条文章：《王思聪爆出的猛料, 一个比一个劲爆! 周杰伦陈赫无故躺枪》 |王思聪爆出... ?",,微博 weibo.com,,,,,,
,,"#恩施身边事#【恩施女博士校园卖恩施小吃 上演现实版“等你下课” 】周杰伦推出的新曲“等你下课”走红网络，而现实版的等你下课在@武汉大学 上演。今年准备博士毕业的刘锐与老公阚成在校园里开了一家名为“UFO”的恩施小吃店，每天上午忙完之后，刘锐就去图书馆写论文，下午阚成收拾完小摊，便去 ?
			...展开全文c",,,,,,,,
,,每天都在刷新 看新歌有木有消息累的嘞...微博的最大意义就是周杰伦 ?,,iPhone客户端,,,,,,
,,#萌妻食神# 周杰伦双截棍另类唱法 ?,,小所可爱的Android,,,,,,
,,周杰伦《彩虹》网页链接 @QQ音乐 您很忙，那我就为您做一只《彩虹》吧。 网页链接 ?,,QQ音乐,,,,,,
,,#周杰伦##周杰伦长沙演唱会##2018周杰伦长沙演唱会# 由于突发事情，去不了11号长沙的演唱会捏现转当日演唱会门票4张，价钱看截图，有诚意的小伙伴价钱还可商榷……也望看到的杰迷帮转下，感谢 ???,,iPhone客户端,,,,,,
,,#周杰伦常州演唱会##周杰伦演唱会# 球两张5.26票票，黄牛掰掰假票掰掰抢钱的也掰掰480 580 780都ok?? ?,,,,,,,,
,,周笔畅超女总决赛演唱周杰伦的《黑色幽默》，一转眼已是12年了。再听的时候还是很怀念。 #ADX625# 现场微音乐... ?,,OPPO智能手机,,,,,,
,,这是最好的轨迹，也是最好的周杰伦，就好似那场演唱会的名字，无与伦比。“谢谢，谢谢你们来听我的演唱会”。带来最后一首歌曲《轨迹》.......... w巫木木的... #周杰伦地表最强演唱会# ?,,iPhone客户端,,,,,,
,,时隔16年，周杰伦的《开不了口》重新编曲，催泪大片感动来袭，你总说我不在意，其实我都放心里！ #谜之微笑# 大侦探夏洛... ?,,秒拍网页版,,,,,,
,,周杰伦现场版《甜甜的》，超爱这首歌，感觉有种初恋的味道，听完心情好好！ 全球经典音... ?,,皮皮时光机,,,,,,
,,周杰伦现场版《甜甜的》，超爱这首歌，感觉有种初恋的味道，听完心情好好！ 全球经典音... ?,,皮皮时光机,,,,,,
,,周杰伦最感人的情歌之一《明明就》，当年是多么的讨厌周杰伦，应该是偏见吧，觉得他唱的都是吐字不清的口水歌。不过没办法他太红，耳濡目染以后放下偏见去听他的歌，你会发现真的很给力，不论唱功还是创作才华。比如这首，最近都在单曲循环。 听音记_78... ?,,微博网页,,,,,,
,,#福州身边事#【好听！福州大学女生翻唱周杰伦《说好的幸福呢》】《说好的幸福呢》收录于周杰伦《魔杰座》中，这首歌被称为2008年最遗憾的情歌，有着听歌者最容易触动心弦的旋律，下面mv是福州大学刘禹盺翻唱周杰伦《说好的幸福呢》不同的曲风也会带来不同的感受哦。喵daddy的... ?,,微博 weibo.com,,,,,,
,,快乐大本营，陈柏霖林允带来周杰伦作品《星晴》，唱出了不一样的味道，泥萌欢喜吗视频童姥的... |遵义·天利... ?,,小米手机5,,,,,,
,,王俊凯 难题记者：杨幂和周杰伦掉水里，你先救哪一个？王俊凯：额……这个……下一题。粉丝：周杰伦和路飞选择谁？王俊凯：你要我怎样？哈哈哈哈哈哈哈哈，可怜的孩子！！！周杰伦到底做错了什么 ?,,微话题,,,,,,
